Date,Product_id,Competitor_id,Competitor_Price
25/11/2013,4,C,74.95
25/11/2013,4,D,74.95
25/11/2013,4,E,75
25/11/2013,4,F,99.95
26/11/2013,4,C,74.95
26/11/2013,4,D,74.95
26/11/2013,4,E,75
26/11/2013,4,F,99.95
27/11/2013,4,C,99.95
27/11/2013,4,D,74.95
27/11/2013,4,E,75
27/11/2013,4,F,99.95
28/11/2013,4,C,99.95
28/11/2013,4,D,74.95
28/11/2013,4,E,75
28/11/2013,4,F,99.95
29/11/2013,4,C,99.95
29/11/2013,4,D,74.95
29/11/2013,4,E,75
29/11/2013,4,F,99.95
30/11/2013,4,C,75
30/11/2013,4,D,74.95
30/11/2013,4,E,75
30/11/2013,4,F,99.95
01/12/2013,4,C,75
01/12/2013,4,D,74.95
01/12/2013,4,E,75
01/12/2013,4,F,99.95
02/12/2013,4,C,75
02/12/2013,4,E,75
02/12/2013,4,F,99.95
03/12/2013,4,C,75
03/12/2013,4,E,99.95
03/12/2013,4,F,99.95
04/12/2013,4,C,75
04/12/2013,4,E,99.95
05/12/2013,4,C,75
05/12/2013,4,E,99.95
05/12/2013,4,F,99.95
06/12/2013,4,C,75
06/12/2013,4,E,99.95
07/12/2013,4,C,75
07/12/2013,4,E,99.95
07/12/2013,4,F,99.95
08/12/2013,4,C,75
08/12/2013,4,E,99.95
09/12/2013,4,C,75
09/12/2013,4,E,99.95
09/12/2013,4,F,99.95
10/12/2013,4,C,75
10/12/2013,4,E,99.95
11/12/2013,4,C,75
11/12/2013,4,D,75
11/12/2013,4,E,99.95
11/12/2013,4,F,99.95
12/12/2013,4,C,75
12/12/2013,4,D,75
12/12/2013,4,F,99.95
13/12/2013,4,C,75
13/12/2013,4,F,99.95
14/12/2013,4,C,75
15/12/2013,4,C,75
15/12/2013,4,D,74.95
16/12/2013,4,C,75
16/12/2013,4,F,99.95
17/12/2013,4,C,75
17/12/2013,4,D,74.95
17/12/2013,4,F,99.95
18/12/2013,4,C,75
19/12/2013,4,C,75
19/12/2013,4,E,74.95
20/12/2013,4,C,75
20/12/2013,4,E,74.95
20/12/2013,4,F,99.95
21/12/2013,4,C,75
21/12/2013,4,E,74.95
21/12/2013,4,F,99.95
22/12/2013,4,C,75
22/12/2013,4,E,74.95
22/12/2013,4,F,99.95
23/12/2013,4,C,75
23/12/2013,4,E,74.95
23/12/2013,4,F,99.95
24/12/2013,4,C,75
24/12/2013,4,E,74.95
24/12/2013,4,F,99.95
25/12/2013,4,C,75
25/12/2013,4,E,74.95
26/12/2013,4,C,75
26/12/2013,4,E,74.95
26/12/2013,4,F,99.95
27/12/2013,4,C,75
27/12/2013,4,E,74.95
27/12/2013,4,F,99.95
28/12/2013,4,C,75
28/12/2013,4,E,74.95
28/12/2013,4,F,99.95
29/12/2013,4,C,75
29/12/2013,4,E,74.95
29/12/2013,4,F,99.95
30/12/2013,4,C,75
30/12/2013,4,E,74.95
30/12/2013,4,F,99.95
31/12/2013,4,C,75
31/12/2013,4,E,74.95
